Name,Values
Yoko Ono,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock']"
J-Stranger,"['edm', 'electro house', 'electronic trap']"
Dzeko & Torres,"['edm', 'electro house', 'progressive electro house']"
Jam & Spoon,"['bubble trance', 'eurodance', 'frankfurt electronic', 'german techno', 'german trance', 'hip house', 'trance']"
Yan Weinstock,['progressive trance']
F.G. Noise,['uplifting trance']
Hidden Face,[]
3OH!3,"['dance pop', 'electropowerpop', 'modern rock', 'pop punk', 'pop rap', 'post-teen pop']"
ZOYA,['bulgarian electronic']
Adam Taylor,[]
Pixies,"['alternative rock', 'boston rock', 'modern rock', 'permanent wave', 'rock']"
Purple Haze,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']"
DJ Pope,"['deep house', 'soulful house', 'vocal house']"
Kura,"['k-pop', 'k-pop girl group']"
Sunset,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']"
Lucky Date,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']"
Darren Tate,"['classic soul', 'funk', 'memphis soul', 'quiet storm', 'soul', 'soul blues', 'southern soul']"
Fake Blonde,[]
Sebastian Yatra,"['colombian pop', 'latin', 'reggaeton colombiano']"
Kozy,"['chill r&b', 'k-indie', 'korean r&b']"
Noise for Healing,['white noise']
Terry Gaters,[]
Sevenn,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']"
Omega Drive,"['croatian electronic', 're:techno']"
Brian Matthew,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock']"
Oliver Lieb,"['big beat', 'hardcore techno', 'hip house']"
David Gravell,"['dutch trance', 'progressive house', 'trance', 'uplifting trance']"
SebastiAn,"['colombian pop', 'latin', 'reggaeton colombiano']"
Daniel Portman,"['deep house', 'electra', 'house', 'progressive house', 'swiss pop', 'tropical house']"
Kavinsky,"['electro house', 'filter house']"
Revealed Recordings,['big room']
autoKratz,"['electrofox', 'new rave']"
Wellenrausch,['sleep']
Alexander Komarov,[]
BAGGI,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']"
Rapid Eye,[]
Selim Ozkaya,[]
Liam Wilson,['tech trance']
Lil Jon,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']"
Johan Ekman,"['cosmic uplifting trance', 'progressive uplifting trance']"
Orgy,"['alternative metal', 'electronic rock', 'industrial metal', 'industrial rock', 'nu metal', 'rap rock']"
Evan Wilder,[]
Neil Bamford,[]
Full Tilt,['smooth jazz']
Smith & Brown,"['dutch trance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Martin Garrix,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']"
Faul & Wad,['tropical house']
Duke Ellington,"['adult standards', 'african-american classical', 'big band', 'harlem renaissance', 'jazz', 'jazz piano', 'swing', 'vocal jazz']"
Benny Goodman; Arranged by Fletcher Henderson,[]
Yelow,"['permanent wave', 'pop']"
Aalto,[]
Cleanfield,[]
Signalrunners,"['deep uplifting trance', 'progressive house', 'trance', 'uplifting trance']"
Taylor Swift,['pop']
Alternate High,[]
Way Out West,['steel guitar']
Serwo Schamutzki,[]
Ludwig van Beethoven,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
